Country;Country_Code;Region;Region_Code;Latitude;Longitude
Central African Republic;CF;Vakaga;CF;9.8250502;22.376363
Congo;CG;Bouenza;CG;-4.2868653;13.3972129
Congo;CG;Pool;CG;-3.7298545;15.053872
Congo;CG;Sangha;CG;0.9371865;16.5503883
Congo;CG;Plateaux;CG;-2.1709644;15.2286129
Congo;CG;Cuvette-Ouest;CG;0.280252;14.5292599
Congo;CG;Pointe-Noire;CG;-4.7975373;11.8503297
Congo;CG;LÃ©koum;CG;-3.2315605;13.5211721
Congo;CG;Kouilou;CG;-4.1960964;11.9104388
Congo;CG;Likouala;CG;1.6788828;17.4747723
Congo;CG;Cuvette;CG;-0.4936855;16.1602013
Congo;CG;Niari;CG;-2.9077055;12.3298313
Congo;CG;Brazzaville;CG;-4.2694407;15.2712256
CÃ´te d'Ivoi;CI;Abidjan;CI;5.320357;-4.016107
CÃ´te d'Ivoi;CI;Bas-Sassandra;CI;5.3523063;-6.6766897
CÃ´te d'Ivoi;CI;ComoÃ;CI;6.0762474;-3.3082115
CÃ´te d'Ivoi;CI;DenguÃ©l;CI;9.6380415;-7.3900097
CÃ´te d'Ivoi;CI;GÃ´h-Djibo;CI;5.9536464;-5.6069906
CÃ´te d'Ivoi;CI;Lacs;CI;7.0523847;-4.4419131
CÃ´te d'Ivoi;CI;Lagunes;CI;5.8451583;-4.2931136
CÃ´te d'Ivoi;CI;Montagnes;CI;6.9418251;-7.6541621
CÃ´te d'Ivoi;CI;Sassandra-MarahouÃ;CI;7.0551607;-6.336856
CÃ´te d'Ivoi;CI;Savanes;CI;9.5652587;-5.5594265
CÃ´te d'Ivoi;CI;VallÃ©e du Banda;CI;8.270286;-4.9452089
CÃ´te d'Ivoi;CI;Woroba;CI;8.3713178;-6.7463262
CÃ´te d'Ivoi;CI;Yamoussoukro;CI;6.8200066;-5.2776034
CÃ´te d'Ivoi;CI;Zanzan;CI;8.6702847;-3.3447445
Cameroon;CM;Adamaoua;CM;6.8496708;13.2163222
Cameroon;CM;Centre;CM;4.686267;11.9414512
Cameroon;CM;Far North;CM;10.6377186;14.2738156
Cameroon;CM;East;CM;3.9894393;14.178373
Cameroon;CM;Littoral;CM;4.203033;10.0563057
Cameroon;CM;North;CM;8.7712794;13.7803627
Cameroon;CM;North-West;CM;5.9518715;10.4335784
Cameroon;CM;West;CM;5.53563825;10.5828825860163
Cameroon;CM;South;CM;2.7312374;11.6254622
Cameroon;CM;South-West;CM;4.2180273;9.1733628
Cabo Verde;CV;Ilhas de Barlavento;CV;17.05552855;-25.1723049113636
Cabo Verde;CV;Brava;CV;14.85194265;-24.7086939090331
Cabo Verde;CV;Boa Vista;CV;16.099508999999998;-22.8009410963036
Cabo Verde;CV;Santa Catarina;CV;15.08907545;-23.7134304393696
Cabo Verde;CV;Santa Catarina do Fogo;CV;14.902254450000001;-24.3212579403352
Cabo Verde;CV;Santa Cruz;CV;15.112842700000002;-23.5518161834029
Cabo Verde;CV;Maio;CV;15.22721825;-23.1563013971624
Cabo Verde;CV;Mosteiros;CV;15.00013895;-24.3374081566827
Cabo Verde;CV;Paul;CV;17.1150295;-25.0201588552085
Cabo Verde;CV;Porto Novo;CV;17.0174637;-25.2004042229527
Cabo Verde;CV;Praia;CV;14.9162811;-23.5095095
Cabo Verde;CV;Ribeira Brava;CV;16.5805775;-24.0887327828993
Cabo Verde;CV;Ribeira Grande;CV;17.139119700000002;-25.1368740677923
Cabo Verde;CV;Ribeira Grande de Santiago;CV;14.9158522;-23.6048421
Cabo Verde;CV;Ilhas de Sotavento;CV;15.1200758;-23.6348181340261
Cabo Verde;CV;SÃ£o Doming;CV;15.03053405;-23.5308823692939
Cabo Verde;CV;SÃ£o Fili;CV;14.92142505;-24.4420244992861
Cabo Verde;CV;Sal;CV;16.720455649999998;-22.9386761270263
Cabo Verde;CV;SÃ£o Migu;CV;15.18996615;-23.642048642698
Cabo Verde;CV;SÃ£o LourenÃ§o dos Ã�;CV;15.07094415;-23.5865130547818
Cabo Verde;CV;SÃ£o Salvador do Mun;CV;15.09165065;-23.6317320300174
Cabo Verde;CV;SÃ£o Vicen;CV;16.84944115;-24.9718791777473
Cabo Verde;CV;Tarrafal;CV;15.26645025;-23.72273385069
Cabo Verde;CV;Tarrafal de SÃ£o Nicol;CV;16.575416099999998;-24.334199248358
Djibouti;DJ;Arta;DJ;11.434137549999999;42.6203731347277
Djibouti;DJ;Ali Sabieh;DJ;11.1630687;42.8372777998374
Djibouti;DJ;Dikhil;DJ;11.428370000000001;42.0639773939744
Djibouti;DJ;Djibouti;DJ;11.8145966;42.8453061
Djibouti;DJ;Obock;DJ;11.9640149;43.292228
Djibouti;DJ;Tadjourah;DJ;12.035812100000001;42.5174504515592
Algeria;DZ;Adrar;DZ;26.4888155;-1.35824421693654
Algeria;DZ;Chlef;DZ;36.203419999999994;1.26806960054163
Algeria;DZ;Laghouat;DZ;33.750440499999996;2.64310936105952
Algeria;DZ;Oum el Bouaghi;DZ;35.8105805;7.01841779657751
Algeria;DZ;Batna;DZ;35.3384291;5.73154529900057
Algeria;DZ;BÃ©ja�;DZ;36.7511783;5.0643687
Algeria;DZ;Biskra;DZ;34.8508816;5.729074
Algeria;DZ;BÃ©ch;DZ;31.385726;-2.0115958479874
Algeria;DZ;Blida;DZ;36.4705658;2.8274937
Algeria;DZ;Bouira;DZ;36.2316481;3.90825791910112
Algeria;DZ;Tamanrasset;DZ;24.3753438;4.3208436
Algeria;DZ;TÃ©bes;DZ;35.124945;7.90117350422937
Algeria;DZ;Tlemcen;DZ;34.881789;-1.316699
Algeria;DZ;Tiaret;DZ;34.8947575;1.59457917313621
Algeria;DZ;Tizi Ouzou;DZ;36.6816175;4.23718604704001
Algeria;DZ;Alger;DZ;36.7729333;3.0588445
Algeria;DZ;Djelfa;DZ;34.342841;3.21725307909033
Algeria;DZ;Jijel;DZ;36.72921875;5.96077760625364
Algeria;DZ;SÃ©t;DZ;36.1893494;5.4046876
Algeria;DZ;SaÃ¯;DZ;34.743349;0.244076362780846
Algeria;DZ;Skikda;DZ;36.8801317;6.9077363
Algeria;DZ;Sidi Bel AbbÃ�;DZ;34.682268;-0.435755506512392
Algeria;DZ;Annaba;DZ;36.8982165;7.7549272
Algeria;DZ;Guelma;DZ;36.3491635;7.40949895276046
Algeria;DZ;Constantine;DZ;36.3641642;6.6084281
Algeria;DZ;MÃ©d�;DZ;35.975204500000004;3.01235040560822
Algeria;DZ;Mostaganem;DZ;35.928808;0.089978
Algeria;DZ;M'sila;DZ;35.1300205;4.20031067135843
Algeria;DZ;Mascara;DZ;35.397838500000006;0.243019499272195
Algeria;DZ;Ouargla;DZ;30.9980145;6.76645363944306
Algeria;DZ;Oran;DZ;35.7044415;-0.6502981
Algeria;DZ;El Bayadh;DZ;32.570302999999996;1.12595814428181
Algeria;DZ;Illizi;DZ;27.852850500000002;7.81896360473969
Algeria;DZ;Bordj Bou ArrÃ©ri;DZ;36.09620285;4.66027423453961
Algeria;DZ;BoumerdÃ�;DZ;36.7358032;3.61630457005852
Algeria;DZ;El Tarf;DZ;36.67135625;8.07013400205363
Algeria;DZ;Tindouf;DZ;27.54390695;-6.24004105865595
Algeria;DZ;Tissemsilt;DZ;35.785897500000004;1.83409567524272
Algeria;DZ;El Oued;DZ;33.215441;7.15532139909832
Algeria;DZ;Khenchela;DZ;34.913345500000005;6.90594309388086
Algeria;DZ;Souk Ahras;DZ;36.1378681;7.82624264005376
Algeria;DZ;Tipaza;DZ;36.527157;2.16720118027121
Algeria;DZ;Mila;DZ;36.2502135;6.16521633338517
Algeria;DZ;AÃ¯n Def;DZ;36.15868425;2.08428173035837
Algeria;DZ;Naama;DZ;33.2336851;-0.815195839077595
Algeria;DZ;AÃ¯n TÃ©mouc;DZ;35.36512965;-0.945217066433566
Algeria;DZ;GhardaÃ�;DZ;32.440827;3.56182085216288
Algeria;DZ;Relizane;DZ;35.836318500000004;0.911853736654066
Algeria;DZ;Timimoun;DZ;29.2605117;0.2285923
Algeria;DZ;Bordj Badji Mokhtar;DZ;22.626146050000003;0.127581685078615
Algeria;DZ;Ouled Djellal;DZ;34.104904000000005;4.8203009024754
Algeria;DZ;BÃ©ni Abb�;DZ;29.083202;-2.65900601043017
Algeria;DZ;In Salah;DZ;27.1950331;2.4826132
Algeria;DZ;In Guezzam;DZ;20.427529999999997;4.67663098380483
Algeria;DZ;Touggourt;DZ;33.1048574;6.0667276
Algeria;DZ;Djanet;DZ;24.071521;9.61558472536686
Algeria;DZ;El Meniaa;DZ;30.7071885;3.04806248004973
Egypt;EG;Al IskandarÄ«y;EG;30.943298300000002;29.7656450400713
Egypt;EG;AswÄ�;EG;24.091071;32.897306
Egypt;EG;AsyÅ«;EG;27.1832822;31.1853836
Egypt;EG;Al Baá¸©r al Aá�;EG;25.5867279;34.1694641025951
Egypt;EG;Al Buá¸©ay;EG;30.7915206;30.3465488479697
Egypt;EG;BanÄ« Suwa;EG;29.0729812;31.0982562
Egypt;EG;Al QÄhir;EG;30.0443879;31.2357257
Egypt;EG;Ad DaqahlÄ«y;EG;31.13800465;31.8882498684563
Egypt;EG;DumyÄ;EG;31.4167427;31.8213657
Egypt;EG;Al FayyÅ�;EG;29.3074076;30.8399651
